GO:0060321,acceptance of pollen
GO:0048868,pollen tube development
GO:0070631,spindle pole body localization
GO:0044766,multi-organism transport
GO:0045185,maintenance of protein location
GO:0051208,sequestering of calcium ion
GO:0051238,sequestering of metal ion
GO:0051651,maintenance of location in cell
GO:0019915,lipid storage
GO:0010876,lipid localization
GO:0052575,carbohydrate localization
GO:0033037,polysaccharide localization
GO:0008104,protein localization
GO:0070727,cellular macromolecule localization
GO:0006403,RNA localization
GO:0032880,regulation of protein localization
GO:0061088,regulation of sequestering of zinc ion
GO:0051049,regulation of transport
GO:0051270,regulation of cellular component movement
GO:0060341,regulation of cellular localization
GO:0051656,establishment of organelle localization
GO:0051236,establishment of RNA localization
GO:0051649,establishment of localization in cell
GO:0006810,transport
GO:0045184,establishment of protein localization
GO:0060341,regulation of cellular localization
GO:0071166,ribonucleoprotein complex localization
GO:0051651,maintenance of location in cell
GO:0051640,organelle localization
GO:0070631,spindle pole body localization
GO:0046907,intracellular transport
GO:0070727,cellular macromolecule localization
GO:0051649,establishment of localization in cell
GO:0051668,localization within membrane
GO:0048870,cell motility
GO:0098869,cellular oxidant detoxification
GO:0110095,cellular detoxification of aldehyde
GO:0071585,detoxification of cadmium ion
GO:1902455,negative regulation of stem cell population maintenance
GO:0046621,negative regulation of organ growth
GO:0048581,negative regulation of post-embryonic development
GO:0045992,negative regulation of embryonic development
GO:1905622,negative regulation of leaf development
GO:0035019,somatic stem cell population maintenance
GO:2000036,regulation of stem cell population maintenance
GO:0010074,maintenance of meristem identity
GO:1902455,negative regulation of stem cell population maintenance
GO:0010233,phloem transport
GO:0009799,specification of symmetry
GO:0009880,embryonic pattern specification
GO:0009798,axis specification
GO:0003002,regionalization
GO:0065001,specification of axis polarity
GO:0009791,post-embryonic development
GO:0007389,pattern specification process
GO:0002165,instar larval or pupal development
GO:0009790,embryo development
GO:0002164,larval development
GO:0009838,abscission
GO:0048731,system development
GO:2000026,regulation of multicellular organismal development
GO:0042335,cuticle development
GO:0007349,cellularization
GO:0048229,gametophyte development
GO:0007552,metamorphosis
GO:0010031,circumnutation
GO:0048235,pollen sperm cell differentiation
GO:0022619,generative cell differentiation
GO:1905623,positive regulation of leaf development
GO:0048582,positive regulation of post-embryonic development
GO:0040019,positive regulation of embryonic development
GO:0046620,regulation of organ growth
GO:0046621,negative regulation of organ growth
GO:0048609,multicellular organismal reproductive process
GO:0022412,cellular process involved in reproduction in multicellular organism
GO:0043479,pigment accumulation in tissues in response to UV light
GO:2000036,regulation of stem cell population maintenance
GO:0051241,negative regulation of multicellular organismal process
GO:0051240,positive regulation of multicellular organismal process
GO:0080092,regulation of pollen tube growth
GO:0040014,regulation of multicellular organism growth
GO:0060688,regulation of morphogenesis of a branching structure
GO:2000026,regulation of multicellular organismal development
GO:0046620,regulation of organ growth
GO:0010074,maintenance of meristem identity
GO:0010075,regulation of meristem growth
GO:0010022,meristem determinacy
GO:0050877,nervous system process
GO:0048700,acquisition of desiccation tolerance in seed
GO:0010231,maintenance of seed dormancy
GO:2000033,regulation of seed dormancy process
GO:0010029,regulation of seed germination
GO:0080001,mucilage extrusion from seed coat
GO:0010030,positive regulation of seed germination
GO:0010187,negative regulation of seed germination
GO:0040014,regulation of multicellular organism growth
GO:0048316,seed development
GO:0009640,photomorphogenesis
GO:0010374,stomatal complex development
GO:0002165,instar larval or pupal development
GO:1990058,fruit replum development
GO:0010050,vegetative phase change
GO:0048580,regulation of post-embryonic development
GO:0009647,skotomorphogenesis
GO:0090351,seedling development
GO:0090696,post-embryonic plant organ development
GO:0002164,larval development
GO:0090567,reproductive shoot system development
GO:0048582,positive regulation of post-embryonic development
GO:0048581,negative regulation of post-embryonic development
GO:0010228,vegetative to reproductive phase transition of meristem
GO:0010311,lateral root formation
GO:0009886,post-embryonic animal morphogenesis
GO:0010582,floral meristem determinacy
GO:0009559,embryo sac central cell differentiation
GO:0009563,synergid differentiation
GO:0009558,embryo sac cellularization
GO:0009856,pollination
GO:0007596,blood coagulation
GO:0060688,regulation of morphogenesis of a branching structure
GO:0010223,secondary shoot formation
GO:0001659,temperature homeostasis
GO:0050891,multicellular organismal water homeostasis
GO:0060586,multicellular organismal iron ion homeostasis
GO:0006904,vesicle docking involved in exocytosis
GO:0001927,exocyst assembly
GO:0007060,male meiosis chromosome segregation
GO:0090377,seed trichome initiation
GO:0048235,pollen sperm cell differentiation
GO:0048515,spermatid differentiation
GO:0090378,seed trichome elongation
GO:0090376,seed trichome differentiation
GO:0007140,male meiotic nuclear division
GO:0080166,stomium development
GO:0048240,sperm capacitation
GO:0007281,germ cell development
GO:0007112,male meiosis cytokinesis
GO:0007143,female meiotic nuclear division
GO:0051211,anisotropic cell growth
GO:0009825,multidimensional cell growth
GO:0030307,positive regulation of cell growth
GO:0048588,developmental cell growth
GO:0009826,unidimensional cell growth
GO:0030308,negative regulation of cell growth
GO:0001558,regulation of cell growth
GO:0051782,negative regulation of cell division
GO:0051781,positive regulation of cell division
GO:0000910,cytokinesis
GO:0017145,stem cell division
GO:0010481,epidermal cell division
GO:0051302,regulation of cell division
GO:0008356,asymmetric cell division
GO:0006884,cell volume homeostasis
GO:0055082,cellular chemical homeostasis
GO:0046716,muscle cell cellular homeostasis
GO:0045454,cell redox homeostasis
GO:0097485,neuron projection guidance
GO:0048870,cell motility
GO:0051270,regulation of cellular component movement
GO:0007018,microtubule-based movement
GO:0030048,actin filament-based movement
GO:0051128,regulation of cellular component organization
GO:0043062,extracellular structure organization
GO:0097435,supramolecular fiber organization
GO:0022607,cellular component assembly
GO:0010256,endomembrane system organization
GO:0032989,cellular component morphogenesis
GO:0043933,protein-containing complex subunit organization
GO:0061024,membrane organization
GO:0045229,external encapsulating structure organization
GO:0051129,negative regulation of cellular component organization
GO:0043954,cellular component maintenance
GO:0034330,cell junction organization
GO:0030030,cell projection organization
GO:0032535,regulation of cellular component size
GO:0006996,organelle organization
GO:0022411,cellular component disassembly
GO:0051130,positive regulation of cellular component organization
GO:0006325,chromatin organization
GO:0031023,microtubule organizing center organization
GO:0030048,actin filament-based movement
GO:0030036,actin cytoskeleton organization
GO:0032970,regulation of actin filament-based process
GO:0006914,autophagy
GO:0032258,protein localization by the Cvt pathway
GO:0048199,"vesicle targeting, to, from or within Golgi"
GO:0009875,pollen-pistil interaction
GO:0010647,positive regulation of cell communication
GO:0031668,cellular response to extracellular stimulus
GO:0007165,signal transduction
GO:0010648,negative regulation of cell communication
GO:0010646,regulation of cell communication
GO:0007267,cell-cell signaling
GO:2001022,positive regulation of response to DNA damage stimulus
GO:0010647,positive regulation of cell communication
GO:0030307,positive regulation of cell growth
GO:0045787,positive regulation of cell cycle
GO:0008284,positive regulation of cell proliferation
GO:2000470,positive regulation of peroxidase activity
GO:0051984,positive regulation of chromosome segregation
GO:0031325,positive regulation of cellular metabolic process
GO:1905959,positive regulation of cellular response to alcohol
GO:1900409,positive regulation of cellular response to oxidative stress
GO:0051130,positive regulation of cellular component organization
GO:1903340,positive regulation of cell wall organization or biogenesis
GO:2000685,positive regulation of cellular response to X-ray
GO:0060148,positive regulation of posttranscriptional gene silencing
GO:0051781,positive regulation of cell division
GO:0010942,positive regulation of cell death
GO:0045597,positive regulation of cell differentiation
GO:1900036,positive regulation of cellular response to heat
GO:0009870,"defense response signaling pathway, resistance gene-dependent"
GO:0007231,osmosensory signaling pathway
GO:0035556,intracellular signal transduction
GO:0010019,chloroplast-nucleus signaling pathway
GO:0031930,mitochondria-nucleus signaling pathway
GO:0030968,endoplasmic reticulum unfolded protein response
GO:0009755,hormone-mediated signaling pathway
GO:0007186,G protein-coupled receptor signaling pathway
GO:0006984,ER-nucleus signaling pathway
GO:0009966,regulation of signal transduction
GO:0007166,cell surface receptor signaling pathway
GO:0009756,carbohydrate mediated signaling
GO:0009863,salicylic acid mediated signaling pathway
GO:0010204,"defense response signaling pathway, resistance gene-independent"
GO:0009967,positive regulation of signal transduction
GO:0010017,red or far-red light signaling pathway
GO:0002764,immune response-regulating signaling pathway
GO:0030522,intracellular receptor signaling pathway
GO:0007602,phototransduction
GO:0009968,negative regulation of signal transduction
GO:0023014,signal transduction by protein phosphorylation
GO:0043482,cellular pigment accumulation
GO:0060548,negative regulation of cell death
GO:0012501,programmed cell death
GO:0010942,positive regulation of cell death
GO:0010941,regulation of cell death
GO:0036473,cell death in response to oxidative stress
GO:0098869,cellular oxidant detoxification
GO:0110095,cellular detoxification of aldehyde
GO:0140056,organelle localization by membrane tethering
GO:0048544,recognition of pollen
GO:1905958,negative regulation of cellular response to alcohol
GO:0008285,negative regulation of cell proliferation
GO:0031324,negative regulation of cellular metabolic process
GO:0060969,negative regulation of gene silencing
GO:2000469,negative regulation of peroxidase activity
GO:2001021,negative regulation of response to DNA damage stimulus
GO:0045786,negative regulation of cell cycle
GO:0060548,negative regulation of cell death
GO:0051782,negative regulation of cell division
GO:0045596,negative regulation of cell differentiation
GO:1903339,negative regulation of cell wall organization or biogenesis
GO:1903573,negative regulation of response to endoplasmic reticulum stress
GO:0051985,negative regulation of chromosome segregation
GO:0010648,negative regulation of cell communication
GO:0051129,negative regulation of cellular component organization
GO:0090071,negative regulation of ribosome biogenesis
GO:0030308,negative regulation of cell growth
GO:0009292,genetic transfer
GO:0071216,cellular response to biotic stimulus
GO:0043482,cellular pigment accumulation
GO:0031668,cellular response to extracellular stimulus
GO:0033554,cellular response to stress
GO:0007165,signal transduction
GO:0104004,cellular response to environmental stimulus
GO:0070887,cellular response to chemical stimulus
GO:0000226,microtubule cytoskeleton organization
GO:0007018,microtubule-based movement
GO:0031023,microtubule organizing center organization
GO:0032886,regulation of microtubule-based process
GO:0051304,chromosome separation
GO:0051983,regulation of chromosome segregation
GO:0051985,negative regulation of chromosome segregation
GO:0051984,positive regulation of chromosome segregation
GO:0098813,nuclear chromosome segregation
GO:0032507,maintenance of protein location in cell
GO:0043181,vacuolar sequestering
GO:0006880,intracellular sequestering of iron ion
GO:0007165,signal transduction
GO:2000683,regulation of cellular response to X-ray
GO:0051302,regulation of cell division
GO:0031323,regulation of cellular metabolic process
GO:0048522,positive regulation of cellular process
GO:0060968,regulation of gene silencing
GO:0010646,regulation of cell communication
GO:2000468,regulation of peroxidase activity
GO:0042127,regulation of cell proliferation
GO:0051983,regulation of chromosome segregation
GO:0051270,regulation of cellular component movement
GO:1903338,regulation of cell wall organization or biogenesis
GO:0010119,regulation of stomatal movement
GO:0045454,cell redox homeostasis
GO:0051726,regulation of cell cycle
GO:0090342,regulation of cell aging
GO:0032886,regulation of microtubule-based process
GO:1905957,regulation of cellular response to alcohol
GO:2001038,regulation of cellular response to drug
GO:0045595,regulation of cell differentiation
GO:0080135,regulation of cellular response to stress
GO:0060627,regulation of vesicle-mediated transport
GO:0061088,regulation of sequestering of zinc ion
GO:1903530,regulation of secretion by cell
GO:0010941,regulation of cell death
GO:0051128,regulation of cellular component organization
GO:0048523,negative regulation of cellular process
GO:0032970,regulation of actin filament-based process
GO:0030154,cell differentiation
GO:0001709,cell fate determination
GO:0010440,stomatal lineage progression
GO:0045165,cell fate commitment
GO:0007569,cell aging
GO:0010623,programmed cell death involved in cell development
GO:0032989,cellular component morphogenesis
GO:0048236,plant-type sporogenesis
GO:0048468,cell development
GO:0048469,cell maturation
GO:0001708,cell fate specification
GO:0010564,regulation of cell cycle process
GO:0007050,cell cycle arrest
GO:0034086,maintenance of sister chromatid cohesion
GO:0051300,spindle pole body organization
GO:1903046,meiotic cell cycle process
GO:1902298,cell cycle DNA replication maintenance of fidelity
GO:0051299,centrosome separation
GO:0044770,cell cycle phase transition
GO:0090068,positive regulation of cell cycle process
GO:0034085,establishment of sister chromatid cohesion
GO:0051298,centrosome duplication
GO:0008608,attachment of spindle microtubules to kinetochore
GO:0000910,cytokinesis
GO:0032506,cytokinetic process
GO:0051304,chromosome separation
GO:1903047,mitotic cell cycle process
GO:1902296,DNA strand elongation involved in cell cycle DNA replication
GO:0044786,cell cycle DNA replication
GO:1902292,cell cycle DNA replication initiation
GO:0007062,sister chromatid cohesion
GO:0098813,nuclear chromosome segregation
GO:0007099,centriole replication
GO:0007098,centrosome cycle
GO:0071163,DNA replication preinitiation complex assembly
GO:0010948,negative regulation of cell cycle process
GO:0007051,spindle organization
GO:0051653,spindle localization
GO:1902299,pre-replicative complex assembly involved in cell cycle DNA replication
GO:1902294,cell cycle DNA replication termination
GO:0006313,"transposition, DNA-mediated"
GO:0032197,"transposition, RNA-mediated"
GO:0098795,mRNA cleavage involved in gene silencing
GO:0060969,negative regulation of gene silencing
GO:0016441,posttranscriptional gene silencing
GO:0006342,chromatin silencing
GO:0031047,gene silencing by RNA
GO:0060968,regulation of gene silencing
GO:0051726,regulation of cell cycle
GO:0000278,mitotic cell cycle
GO:0022402,cell cycle process
GO:0045786,negative regulation of cell cycle
GO:0051321,meiotic cell cycle
GO:0045787,positive regulation of cell cycle
GO:1903530,regulation of secretion by cell
GO:0009306,protein secretion
GO:0006887,exocytosis
GO:0006413,translational initiation
GO:0042133,neurotransmitter metabolic process
GO:0010191,mucilage metabolic process
GO:0031324,negative regulation of cellular metabolic process
GO:0044248,cellular catabolic process
GO:0001887,selenium compound metabolic process
GO:0006730,one-carbon metabolic process
GO:0006793,phosphorus metabolic process
GO:0009850,auxin metabolic process
GO:0044255,cellular lipid metabolic process
GO:0043449,cellular alkene metabolic process
GO:0017144,drug metabolic process
GO:0044249,cellular biosynthetic process
GO:0031323,regulation of cellular metabolic process
GO:0051186,cofactor metabolic process
GO:0046483,heterocycle metabolic process
GO:0006082,organic acid metabolic process
GO:0097354,prenylation
GO:0006091,generation of precursor metabolites and energy
GO:0009404,toxin metabolic process
GO:0006575,cellular modified amino acid metabolic process
GO:0031325,positive regulation of cellular metabolic process
GO:0006725,cellular aromatic compound metabolic process
GO:0072593,reactive oxygen species metabolic process
GO:0043094,cellular metabolic compound salvage
GO:0034754,cellular hormone metabolic process
GO:0015979,photosynthesis
GO:0044260,cellular macromolecule metabolic process
GO:0044107,cellular alcohol metabolic process
GO:0042180,cellular ketone metabolic process
GO:0034641,cellular nitrogen compound metabolic process
GO:0006790,sulfur compound metabolic process
GO:0044262,cellular carbohydrate metabolic process
GO:0043446,cellular alkane metabolic process
GO:0006081,cellular aldehyde metabolic process
GO:0010497,plasmodesmata-mediated intercellular transport
GO:0061077,chaperone-mediated protein folding
GO:0034975,protein folding in endoplasmic reticulum
GO:0006458,'de novo' protein folding
GO:0042026,protein refolding
GO:0007023,post-chaperonin tubulin folding pathway
GO:0030010,establishment of cell polarity
GO:0033313,meiotic cell cycle checkpoint
GO:0031570,DNA integrity checkpoint
GO:0031577,spindle checkpoint
GO:1901976,regulation of cell cycle checkpoint
GO:0007093,mitotic cell cycle checkpoint
GO:0044036,cell wall macromolecule metabolic process
GO:1903340,positive regulation of cell wall organization or biogenesis
GO:1903338,regulation of cell wall organization or biogenesis
GO:0071669,plant-type cell wall organization or biogenesis
GO:0071555,cell wall organization
GO:1903339,negative regulation of cell wall organization or biogenesis
GO:0042546,cell wall biogenesis
GO:0090332,stomatal closure
GO:0010119,regulation of stomatal movement
GO:1990069,stomatal opening
GO:1901527,abscisic acid-activated signaling pathway involved in stomatal movement
GO:0048638,regulation of developmental growth
GO:0045927,positive regulation of growth
GO:0040009,regulation of growth rate
GO:0045926,negative regulation of growth
GO:0001558,regulation of cell growth
GO:0001558,regulation of cell growth
GO:0009826,unidimensional cell growth
GO:0030308,negative regulation of cell growth
GO:0048588,developmental cell growth
GO:0051211,anisotropic cell growth
GO:0030307,positive regulation of cell growth
GO:0009825,multidimensional cell growth
GO:0030308,negative regulation of cell growth
GO:0048640,negative regulation of developmental growth
GO:0080186,developmental vegetative growth
GO:0048639,positive regulation of developmental growth
GO:0035266,meristem growth
GO:0048640,negative regulation of developmental growth
GO:0048588,developmental cell growth
GO:0035264,multicellular organism growth
GO:0060560,developmental growth involved in morphogenesis
GO:0035265,organ growth
GO:0080112,seed growth
GO:0048638,regulation of developmental growth
GO:0048639,positive regulation of developmental growth
GO:0030307,positive regulation of cell growth
GO:0040010,positive regulation of growth rate
GO:0080117,secondary growth
GO:0198738,cell-cell signaling by wnt
GO:0045168,cell-cell signaling involved in cell fate commitment
GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling
GO:0009967,positive regulation of signal transduction
GO:0030522,intracellular receptor signaling pathway
GO:0009968,negative regulation of signal transduction
GO:0007602,phototransduction
GO:0023014,signal transduction by protein phosphorylation
GO:0010204,"defense response signaling pathway, resistance gene-independent"
GO:0009967,positive regulation of signal transduction
GO:0010017,red or far-red light signaling pathway
GO:0002764,immune response-regulating signaling pathway
GO:0010019,chloroplast-nucleus signaling pathway
GO:0031930,mitochondria-nucleus signaling pathway
GO:0035556,intracellular signal transduction
GO:0030968,endoplasmic reticulum unfolded protein response
GO:0007186,G protein-coupled receptor signaling pathway
GO:0009755,hormone-mediated signaling pathway
GO:0009870,"defense response signaling pathway, resistance gene-dependent"
GO:0007231,osmosensory signaling pathway
GO:0007166,cell surface receptor signaling pathway
GO:0009863,salicylic acid mediated signaling pathway
GO:0009756,carbohydrate mediated signaling
GO:0009966,regulation of signal transduction
GO:0006984,ER-nucleus signaling pathway
GO:0023057,negative regulation of signaling
GO:0001881,receptor recycling
GO:0023056,positive regulation of signaling
GO:0009966,regulation of signal transduction
GO:0009968,negative regulation of signal transduction
GO:0042752,regulation of circadian rhythm
GO:0042753,positive regulation of circadian rhythm
GO:0032922,circadian regulation of gene expression
GO:0010617,circadian regulation of calcium ion oscillation
GO:0097167,circadian regulation of translation
GO:0048609,multicellular organismal reproductive process
GO:0022412,cellular process involved in reproduction in multicellular organism
GO:0048359,mucilage metabolic process involved in seed coat development
GO:0009856,pollination
GO:0022412,cellular process involved in reproduction in multicellular organism
GO:0009846,pollen germination
GO:0048497,maintenance of floral organ identity
GO:0048609,multicellular organismal reproductive process
GO:0010183,pollen tube guidance
GO:2000242,negative regulation of reproductive process
GO:0051321,meiotic cell cycle
GO:0044703,multi-organism reproductive process
GO:0009875,pollen-pistil interaction
GO:0048573,"photoperiodism, flowering"
GO:2000243,positive regulation of reproductive process
GO:1903046,meiotic cell cycle process
GO:0010344,seed oilbody biogenesis
GO:0048544,recognition of pollen
GO:0009859,pollen hydration
GO:0010588,cotyledon vascular tissue pattern formation
GO:0003006,developmental process involved in reproduction
GO:0010069,zygote asymmetric cytokinesis in embryo sac
GO:2000241,regulation of reproductive process
GO:0009566,fertilization
GO:0009566,fertilization
GO:0034293,sexual sporulation
GO:0007276,gamete generation
GO:0002239,response to oomycetes
GO:0009620,response to fungus
GO:0075136,response to host
GO:0098542,defense response to other organism
GO:0009625,response to insect
GO:0098543,detection of other organism
GO:0009617,response to bacterium
GO:0009624,response to nematode
GO:0009608,response to symbiont
GO:0009615,response to virus
GO:0052173,response to defenses of other organism involved in symbiotic interaction
GO:0044403,symbiont process
GO:0051702,interaction with symbiont
GO:0051701,interaction with host
GO:0035821,modification of morphology or physiology of other organism
GO:0009405,pathogenesis
GO:1900366,negative regulation of defense response to insect
GO:0010113,negative regulation of systemic acquired resistance
GO:1900425,negative regulation of defense response to bacterium
GO:0050687,negative regulation of defense response to virus
GO:1902289,negative regulation of defense response to oomycetes
GO:1900367,positive regulation of defense response to insect
GO:1901672,positive regulation of systemic acquired resistance
GO:1900426,positive regulation of defense response to bacterium
GO:0051819,"induction by symbiont of nodulation, tumor or growth in host"
GO:0048524,positive regulation of viral process
GO:0009292,genetic transfer
GO:0009856,pollination
GO:0010483,pollen tube reception
GO:0009865,pollen tube adhesion
GO:1900150,regulation of defense response to fungus
GO:0080092,regulation of pollen tube growth
GO:0080154,regulation of fertilization
GO:0010112,regulation of systemic acquired resistance
GO:0050688,regulation of defense response to virus
GO:1900424,regulation of defense response to bacterium
GO:1902288,regulation of defense response to oomycetes
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism"
GO:0043901,negative regulation of multi-organism process
GO:2000068,regulation of defense response to insect
GO:0043902,positive regulation of multi-organism process
GO:0010483,pollen tube reception
GO:0009865,pollen tube adhesion
GO:0019953,sexual reproduction
GO:0044766,multi-organism transport
GO:0030155,regulation of cell adhesion
GO:0098740,multi organism cell adhesion
GO:0098609,cell-cell adhesion
GO:0071461,cellular response to redox state
GO:0001666,response to hypoxia
GO:0006979,response to oxidative stress
GO:0006952,defense response
GO:0034059,response to anoxia
GO:0097501,stress response to metal ion
GO:0009414,response to water deprivation
GO:0035966,response to topologically incorrect protein
GO:0006991,response to sterol depletion
GO:0033554,cellular response to stress
GO:0009408,response to heat
GO:0006970,response to osmotic stress
GO:0042594,response to starvation
GO:0009635,response to herbicide
GO:0009409,response to cold
GO:0080134,regulation of response to stress
GO:0009611,response to wounding
GO:2000685,positive regulation of cellular response to X-ray
GO:1902884,positive regulation of response to oxidative stress
GO:1901421,positive regulation of response to alcohol
GO:0031349,positive regulation of defense response
GO:1900036,positive regulation of cellular response to heat
GO:0050778,positive regulation of immune response
GO:1902584,positive regulation of response to water deprivation
GO:2000470,positive regulation of peroxidase activity
GO:1901002,positive regulation of response to salt stress
GO:2000306,positive regulation of photomorphogenesis
GO:0002833,positive regulation of response to biotic stimulus
GO:2001022,positive regulation of response to DNA damage stimulus
GO:0009967,positive regulation of signal transduction
GO:0048578,"positive regulation of long-day photoperiodism, flowering"
GO:0032103,positive regulation of response to external stimulus
GO:0010220,positive regulation of vernalization response
GO:0070887,cellular response to chemical stimulus
GO:0043482,cellular pigment accumulation
GO:0071216,cellular response to biotic stimulus
GO:0104004,cellular response to environmental stimulus
GO:0007165,signal transduction
GO:0033554,cellular response to stress
GO:0031668,cellular response to extracellular stimulus
GO:0046677,response to antibiotic
GO:0010036,response to boron-containing substance
GO:1901698,response to nitrogen compound
GO:1901700,response to oxygen-containing compound
GO:0010035,response to inorganic substance
GO:0010033,response to organic substance
GO:0042493,response to drug
GO:0007584,response to nutrient
GO:1902074,response to salt
GO:0006935,chemotaxis
GO:0009593,detection of chemical stimulus
GO:0009636,response to toxic substance
GO:0070887,cellular response to chemical stimulus
GO:0001101,response to acid chemical
GO:0046685,response to arsenic-containing substance
GO:2000469,negative regulation of peroxidase activity
GO:0010100,negative regulation of photomorphogenesis
GO:0009968,negative regulation of signal transduction
GO:2001021,negative regulation of response to DNA damage stimulus
GO:0048577,"negative regulation of short-day photoperiodism, flowering"
GO:1901001,negative regulation of response to salt stress
GO:1901420,negative regulation of response to alcohol
GO:0080148,negative regulation of response to water deprivation
GO:0031348,negative regulation of defense response
GO:0032102,negative regulation of response to external stimulus
GO:1903573,negative regulation of response to endoplasmic reticulum stress
GO:0002832,negative regulation of response to biotic stimulus
GO:0050777,negative regulation of immune response
GO:0048579,"negative regulation of long-day photoperiodism, flowering"
GO:0009726,detection of endogenous stimulus
GO:0071495,cellular response to endogenous stimulus
GO:0009725,response to hormone
GO:0009726,detection of endogenous stimulus
GO:0009595,detection of biotic stimulus
GO:0009582,detection of abiotic stimulus
GO:0009581,detection of external stimulus
GO:0009593,detection of chemical stimulus
GO:0002831,regulation of response to biotic stimulus
